pattern,bs,bw_read_kib_s,bw_write_kib_s,iops_read,iops_write,lat_ns_mean_read,lat_ns_mean_write
seqread,4K,309205,0,77301.379908,0.000000,413545.580164,0.000000
seqwrite,4K,0,210850,0.000000,52712.619159,0.000000,606628.217741
randread,4K,292245,0,73061.395907,0.000000,437389.943439,0.000000
randwrite,4K,0,293724,0.000000,73431.037931,0.000000,435281.276082
mix40,4K,40592,60596,10148.190121,15149.056730,1567817.211262,1061235.086261
seqread,8K,367194,0,45899.273382,0.000000,696637.522276,0.000000
seqwrite,8K,0,342691,0.000000,42836.477568,0.000000,746487.873616
randread,8K,379148,0,47393.573762,0.000000,674569.140131,0.000000
randwrite,8K,0,370269,0.000000,46283.686525,0.000000,690674.137220
mix40,8K,70693,105462,8836.677555,13182.854476,1856932.345778,1181757.140542
seqread,16K,398334,0,24895.880549,0.000000,1284772.243906,0.000000
seqwrite,16K,0,380982,0.000000,23811.425143,0.000000,1342923.712697
randread,16K,384410,0,24025.663245,0.000000,1331033.966818,0.000000
randwrite,16K,0,384041,0.000000,24002.599653,0.000000,1332277.431515
mix40,16K,115685,172866,7230.338576,10804.185551,2668749.959598,1174626.622488
seqread,32K,407336,0,12729.254149,0.000000,2512951.235196,0.000000
seqwrite,32K,0,413924,0.000000,12935.146304,0.000000,2472823.023734
randread,32K,457540,0,14298.140372,0.000000,2237069.796718,0.000000
randwrite,32K,0,462988,0.000000,14468.404213,0.000000,2210955.401175
mix40,32K,146312,217655,4572.275908,6801.732756,4357754.241550,1773617.831805
seqread,64K,423426,0,6616.035724,0.000000,4835970.951635,0.000000
seqwrite,64K,0,452585,0.000000,7071.642786,0.000000,4524011.790293
randread,64K,471390,0,7365.478174,0.000000,4343420.745437,0.000000
randwrite,64K,0,461909,0.000000,7217.342042,0.000000,4432697.253128
mix40,64K,182278,272000,2848.107171,4250.000000,6062435.379285,3465345.132937
seqread,128K,349327,0,2729.119937,0.000000,11722817.270499,0.000000
seqwrite,128K,0,429003,0.000000,3351.589047,0.000000,9546042.188136
randread,128K,467926,0,3655.673263,0.000000,8751383.123569,0.000000
randwrite,128K,0,439015,0.000000,3429.808781,0.000000,9328049.121100
mix40,128K,182515,272221,1425.906183,2126.732409,10521932.276075,7989057.482298
seqread,256K,516040,0,2015.783165,0.000000,15869738.224884,0.000000
seqwrite,256K,0,455876,0.000000,1780.767182,0.000000,17965654.531227
randread,256K,523525,0,2045.021645,0.000000,15641692.635544,0.000000
randwrite,256K,0,454965,0.000000,1777.208281,0.000000,18000279.512753
mix40,256K,171837,255624,671.239262,998.534994,20854697.731944,18019376.770724
seqread,512K,476708,0,931.071191,0.000000,34356906.887952,0.000000
seqwrite,512K,0,462779,0.000000,903.865345,0.000000,35395102.607096
randread,512K,539660,0,1054.025283,0.000000,30346648.657808,0.000000
randwrite,512K,0,476997,0.000000,931.635300,0.000000,34338197.548719
mix40,512K,196611,296620,384.006387,579.336039,34882217.408871,32096583.561208
seqread,1M,523457,0,511.189322,0.000000,62570024.501689,0.000000
seqwrite,1M,0,481814,0.000000,470.521843,0.000000,67991106.699309
randread,1M,526997,0,514.646297,0.000000,62152678.885519,0.000000
randwrite,1M,0,479619,0.000000,468.378791,0.000000,68291818.456220
mix40,1M,177158,272944,173.006705,266.547169,50822497.861857,87033618.550934
seqread,2M,528353,0,257.985258,0.000000,123875066.367568,0.000000
seqwrite,2M,0,477205,0.000000,233.010353,0.000000,137157972.262318
randread,2M,525222,0,256.456217,0.000000,124586609.236345,0.000000
randwrite,2M,0,473221,0.000000,231.065383,0.000000,138305129.208848
mix40,2M,194698,306594,95.067384,149.704574,109600145.860335,143867939.626608
seqread,4M,529059,0,129.165007,0.000000,246606819.528264,0.000000
seqwrite,4M,0,475969,0.000000,116.203489,0.000000,274091155.708904
randread,4M,451401,0,110.205434,0.000000,288791910.008418,0.000000
randwrite,4M,0,478147,0.000000,116.735127,0.000000,272807449.469920
mix40,4M,190581,305582,46.528607,74.605071,240259674.114123,277002486.204626
seqread,8M,529987,0,64.695744,0.000000,489205103.172131,0.000000
seqwrite,8M,0,484630,0.000000,59.159040,0.000000,534707963.696188
randread,8M,529638,0,64.653170,0.000000,489228511.157084,0.000000
randwrite,8M,0,480797,0.000000,58.691044,0.000000,539161963.759594
mix40,8M,184887,316640,22.569330,38.652459,488732666.387097,533519795.522260
seqread,16M,517138,0,31.563656,0.000000,978032448.529290,0.000000
seqwrite,16M,0,462220,0.000000,28.211720,0.000000,1073639896.121496
randread,16M,483700,0,29.522738,0.000000,1051325398.506726,0.000000
randwrite,16M,0,476014,0.000000,29.053607,0.000000,1070907723.842824
mix40,16M,191442,306091,11.684711,18.682334,981824811.299436,1052649631.982332
